Antilocapra americana
Addax nasomaculatus
Ammotragus lervia
Antilope cervicapra
Bison bison athabascae
Bos gaurus
Bos mutus
Bos sauveli
Boselaphus tragocamelus
Bubalus arnee
Bubalus depressicornis
Bubalus mindorensis
Bubalus quarlesi
Budorcas taxicolor
Capra falconeri
Capra hircus aegagrus
Capra sibirica
Capricornis milneedwardsii
Capricornis rubidus
Capricornis sumatraensis
Capricornis thar
Cephalophus brookei
Cephalophus dorsalis
Cephalophus jentinki
Cephalophus ogilbyi
Cephalophus silvicultor
Cephalophus zebra
Damaliscus pygargus pygargus
Gazella bennettii
Gazella cuvieri
Gazella dorcas
Gazella leptoceros
Hippotragus niger variani
Kobus leche
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus goral
Naemorhedus griseus
Nanger dama
Oryx dammah
Oryx leucoryx
Ovis ammon
Ovis ammon hodgsonii
Ovis ammon nigrimontana
Ovis canadensis
Ovis orientalis ophion
Ovis vignei
Ovis vignei vignei
Pantholops hodgsonii
Philantomba monticola
Pseudois nayaur
Pseudoryx nghetinhensis
Rupicapra pyrenaica ornata
Saiga borealis
Saiga tatarica
Tetracerus quadricornis
Lama guanicoe
Vicugna vicugna

Axis calamianensis
Axis kuhlii
Axis porcinus
Axis porcinus annamiticus
Blastocerus dichotomus
Cervus elaphus bactrianus
Cervus elaphus barbarus
Cervus elaphus hanglu
Dama dama mesopotamica
Hippocamelus antisensis
Hippocamelus bisulcus
Mazama temama cerasina
Muntiacus crinifrons
Muntiacus vuquanghensis
Odocoileus virginianus mayensis
Ozotoceros bezoarticus
Pudu mephistophiles
Pudu puda
Rucervus duvaucelii
Rucervus eldii
Hexaprotodon liberiensis
Hippopotamus amphibius
Moschus anhuiensis
Moschus berezovskii
Moschus chrysogaster

Moschus cupreus
Moschus fuscus

Moschus leucogaster
Moschus moschiferus
Babyrousa babyrussa
Babyrousa bolabatuensis
Babyrousa celebensis
Babyrousa togeanensis
Sus salvanius
Catagonus wagneri
Pecari tajacu
Tayassu pecari
Ailurus fulgens
Canis aureus
Canis lupus

Cerdocyon thous
Chrysocyon brachyurus
Cuon alpinus
Lycalopex culpaeus
Lycalopex fulvipes
Lycalopex griseus
Lycalopex gymnocercus
Speothos venaticus
Vulpes bengalensis
Vulpes cana
Vulpes vulpes griffithi
Vulpes vulpes montana
Vulpes vulpes pusilla
Vulpes zerda
Cryptoprocta ferox
Eupleres goudotii
Fossa fossana
Acinonyx jubatus
Caracal caracal

Catopuma badia
Catopuma temminckii
Felis bieti
Felis chaus
Felis manul
Felis margarita
Felis nigripes
Felis silvestris
Leopardus braccatus
Leopardus colocolo
Leopardus geoffroyi
Leopardus guigna
Leopardus jacobitus
Leopardus pajeros
Leopardus pardalis
Leopardus tigrinus
Leopardus wiedii
Leptailurus serval
Lynx canadensis
Lynx lynx
Lynx pardinus
Lynx rufus
Neofelis nebulosa
Panthera leo
Panthera leo persica
Panthera onca
Panthera pardus
Panthera tigris
Pardofelis marmorata
Prionailurus bengalensis
Prionailurus bengalensis bengalensis

Prionailurus iriomotensis
Prionailurus planiceps
Prionailurus rubiginosus

Prionailurus viverrinus
Profelis aurata
Puma concolor
Puma concolor coryi
Puma concolor costaricensis
Puma concolor couguar
Puma yagouaroundi

Uncia uncia
Herpestes edwardsi
Herpestes fuscus
Herpestes javanicus
Herpestes javanicus auropunctatus
Herpestes smithii
Herpestes urva
Herpestes vitticollis
Hyaena hyaena
Proteles cristata
Conepatus humboldtii
Aonyx capensis
Aonyx capensis microdon
Aonyx capensis microdon
Aonyx cinerea
Enhydra lutris
Enhydra lutris nereis
Hydrictis maculicollis
Lontra canadensis
Lontra felina
Lontra longicaudis
Lontra provocax
Lutra lutra
Lutra nippon
Lutra sumatrana
Lutrogale perspicillata
Pteronura brasiliensis
Eira barbara
Galictis vittata
Martes flavigula
Martes foina intermedia
Martes gwatkinsii
Mellivora capensis
Mustela altaica
Mustela erminea ferghanae
Mustela kathiah
Mustela nigripes
Mustela sibirica
Odobenus rosmarus
Arctocephalus australis
Arctocephalus forsteri
Arctocephalus galapagoensis
Arctocephalus gazella
Arctocephalus philippii
Arctocephalus pusillus
Arctocephalus townsendi
Arctocephalus tropicalis
Mirounga leonina
